,Geneid,TPM,Log
25783,LOC_Os05g34780,79.4338396,1.905438801
25784,LOC_Os05g34790,126.0072307,2.103828447
25785,LOC_Os05g34800,9.496136616,1.021029475
25786,LOC_Os05g34810,2.217106029,0.507465375
25787,LOC_Os05g34820,99.90479871,2.00391182
25788,LOC_Os05g34830,60.63074102,1.78979739
25789,LOC_Os05g34840,0.663778181,0.221095425
25790,LOC_Os05g34854,15.82721121,1.226012146
25791,LOC_Os05g34870,0.091850283,0.038163091
25792,LOC_Os05g34880,15.21045015,1.209795075
25793,LOC_Os05g34890,0.262913147,0.101373484
25794,LOC_Os05g34900,46.26236547,1.674515454
25795,LOC_Os05g34910,0.739385569,0.240395863
25796,LOC_Os05g34914,100.6234592,2.006993974
25797,LOC_Os05g34920,66.48092037,1.829180997
25798,LOC_Os05g34930,0.146996285,0.059562011
25799,LOC_Os05g34940,98.74797702,1.998904097
25800,LOC_Os05g34950,13.08806785,1.148851435
25801,LOC_Os05g34970,2.915055635,0.592737938
25802,LOC_Os05g34980,236.1457132,2.375015278
25803,LOC_Os05g34990,0.237001312,0.09237016
25804,LOC_Os05g35000,0.089995681,0.037424777
25805,LOC_Os05g35010,57.03125641,1.763661973
25806,LOC_Os05g35030,0,0
25807,LOC_Os05g35040,0.177423841,0.070932825
25808,LOC_Os05g35050,65.95119541,1.825758336
25809,LOC_Os05g35060,80.49056289,1.911107318
25810,LOC_Os05g35070,85.6344276,1.93769051
25811,LOC_Os05g35080,22.09011814,1.363426155
25812,LOC_Os05g35090,0,0
25813,LOC_Os05g35100,0.021332363,0.009167094
25814,LOC_Os05g35110,610.3936318,2.786320911
25815,LOC_Os05g35130,3.083092432,0.610989211
25816,LOC_Os05g35140,615.9730952,2.790266226
25817,LOC_Os05g35150,28.30122832,1.466885826
25818,LOC_Os05g35160,0.841617512,0.265199436
25819,LOC_Os05g35170,470.8703933,2.673822729
25820,LOC_Os05g35180,0.015757986,0.006790246
25821,LOC_Os05g35190,55.40093496,1.751286303
25822,LOC_Os05g35200,166.2914361,2.223473709
25823,LOC_Os05g35210,0.283367294,0.108350967
25824,LOC_Os05g35220,0,0
25825,LOC_Os05g35230,30.12463092,1.49310421
25826,LOC_Os05g35240,31.35399584,1.509927925
25827,LOC_Os05g35250,0,0
25828,LOC_Os05g35260,135.5751629,2.135371727
25829,LOC_Os05g35266,66.40405834,1.828686046
25830,LOC_Os05g35274,166.6970624,2.224525455
25831,LOC_Os05g35290,409.7974029,2.613627689
25832,LOC_Os05g35300,0,0
25833,LOC_Os05g35310,0.030959275,0.01324151
25834,LOC_Os05g35320,0,0
25835,LOC_Os05g35330,0,0
25836,LOC_Os05g35340,159.0619751,2.204288172
25837,LOC_Os05g35350,1.694659696,0.430503927
25838,LOC_Os05g35360,11.00313613,1.079294732
25839,LOC_Os05g35370,3.802115359,0.681432589
25840,LOC_Os05g35380,56.98675841,1.763328831
25841,LOC_Os05g35390,0,0
25842,LOC_Os05g35400,2.110070915,0.492770292
25843,LOC_Os05g35410,82.49049867,1.921637055
25844,LOC_Os05g35420,9.663551299,1.027901863
25845,LOC_Os05g35430,9.309243753,1.013226808
25846,LOC_Os05g35440,37.0120209,1.579920959
25847,LOC_Os05g35444,90.51053004,1.961471071
25848,LOC_Os05g35450,0.180855887,0.072196899
25849,LOC_Os05g35460,207.0172705,2.318099394
25850,LOC_Os05g35470,173.9095604,2.242813548
25851,LOC_Os05g35480,92.35954492,1.970158726
25852,LOC_Os05g35490,0,0
25853,LOC_Os05g35500,119.8610822,2.082286479
25854,LOC_Os05g35510,0.082407835,0.034390927
25855,LOC_Os05g35520,116.9543542,2.071713977
25856,LOC_Os05g35530,52.15308794,1.7255285
25857,LOC_Os05g35540,34.05044618,1.544693551
25858,LOC_Os05g35550,0,0
25859,LOC_Os05g35560,0.277863121,0.106484337
25860,LOC_Os05g35570,59.18440158,1.779483947
25861,LOC_Os05g35580,55.34926724,1.750888273
25862,LOC_Os05g35594,11.14485656,1.08439239
25863,LOC_Os05g35610,0.139016645,0.056530071
25864,LOC_Os05g35620,1.106995585,0.323663626
25865,LOC_Os05g35630,3.478633057,0.651145481
25866,LOC_Os05g35650,46.31257402,1.674976576
25867,LOC_Os05g35690,278.9715229,2.44711386
25868,LOC_Os05g35700,0,0
25869,LOC_Os05g35710,121.6385375,2.088626963
25870,LOC_Os05g35720,30.57093596,1.499287457
25871,LOC_Os05g35730,17.44555761,1.265891788
25872,LOC_Os05g35740,372.0276703,2.571741048
25873,LOC_Os05g35750,0.058356045,0.024631795
25874,LOC_Os05g35760,23.7574004,1.393705041
25875,LOC_Os05g35770,13.30894024,1.15560747
25876,LOC_Os05g35780,59.34525013,1.780643092
25877,LOC_Os05g35800,9.04100576,1.001777216
25878,LOC_Os05g35810,106.1726355,2.030083911
25879,LOC_Os05g35820,0.140945971,0.057265079
25880,LOC_Os05g35830,7.17477263,0.912475682
25881,LOC_Os05g35840,0.366155704,0.1355002
25882,LOC_Os05g35850,0.064239845,0.027039515
25883,LOC_Os05g35860,0.044122217,0.018751337
25884,LOC_Os05g35870,0.416794682,0.151306918
25885,LOC_Os05g35880,0.020767316,0.008926756
25886,LOC_Os05g35890,0.058029739,0.024497875
25887,LOC_Os05g35900,0,0
25888,LOC_Os05g35910,1.35407443,0.37182019
25889,LOC_Os05g35920,0,0
25890,LOC_Os05g35930,57.57084815,1.767681513
25891,LOC_Os05g35940,0.29008568,0.110618554
